warn:  "Now this is a totally brain damaged algorithm.  Gag me with a smurfette."
warn:  		-- P. Buhr, Computer Science 354
warn:  People love high ideals, but they got to be about 33-percent plausible.
warn:  		-- The Best of Will Rogers
Unix is the worst operating system; except for all others.
		-- Berry Kercheval
trace: It is against the grain of modern education to teach children to program.
trace: What fun is there in making plans, acquiring discipline in organizing
trace: thoughts, devoting attention to detail, and learning to be self-critical?
trace: 		-- Alan Perlis
warn:  On a clear disk you can seek forever.
info:  May you do Good Magic with Perl.
info:               -- Larry Wall's blessing
warn:  There is is no reason for any individual to have a computer in their home.
warn:  		-- Ken Olsen (President of Digital Equipment Corporation),
warn:  		   Convention of the World Future Society, in Boston, 1977
trace: Life is like bein' on a mule team.  Unless you're the lead mule, all the
trace: scenery looks about the same.
error: There is no opinion so absurd that some philosopher will not express it.
error: 		-- Marcus Tullius Cicero, "Ad familiares"
